N,P,K,temperature,humidity,ph,rainfall,rainfall_humidity,pH_K,N_P,temp_sq,rainfall_log,climate_index
76.0,39.0,24.0,24.2547451,55.64709899,6.995843776,64.23845455,3574.6836393084664,167.900250624,2964.0,588.2926598659741,4.17804908878431,13.497062015569178
13.0,69.0,19.0,17.30844532,20.01730914,5.86390397,115.199245,2305.978899859599,111.41417543,897.0,299.5822793954299,4.755306346978458,3.464685007032262
24.0,44.0,17.0,29.8596912,80.03499648,6.666380512000001,50.66487502,4054.9630938853397,113.32846870400002,1056.0,891.6011585593575,3.9447781506176165,23.898202800858872
111.0,27.0,31.0,23.59302313,55.27564977,6.0433309510000015,191.3980675,10579.65254578482,187.34325948100005,2997.0,556.6307404127149,5.259566494002368,13.04119683549389
14.0,74.0,15.0,27.99990346,65.57653373,6.493036868,49.94043064,3274.9203343546856,97.39555302,1036.0,783.9945937693199,3.930656923382872,18.361366136814336
84.07154762092333,40.1280035932477,41.800901335097514,26.12901156796292,73.2517702784963,6.668733197539666,186.80204377248347,13695.120540069533,281.5470083009308,3359.925764773745,690.9479494621012,5.2487867567263775,19.3913673987188
4.0,19.0,43.0,18.07132963,93.14554876,5.7794274020000005,106.3602023,9906.979409458114,248.51537828600001,76.0,326.57295459611595,4.676189557536052,16.83263915209198
8.986831209635143,49.04112307710283,16.11174119100199,30.93375689757772,41.40173340768361,7.612221426874123,55.205129978285946,2277.4050058448092,122.52174279663947,441.0437029279638,953.7815451926771,3.8623451275838288,12.917532964128647
29.916157810432804,142.95202036511301,198.89187657920635,23.937916084221797,90.57547716462159,5.796038456341731,102.19985202938483,9264.988120071766,1153.8472720751404,4289.9317464029555,564.8638169057072,4.599450190015521,21.54449174864465
101.96916539133625,10.90303297267524,47.03520595536727,27.86128013444471,92.71901291368258,6.496868303134312,27.119053631930342,2518.537163297506,305.770583766811,1121.971315903991,783.2707013298813,3.2873186412847293,25.921943714179918
109.0,21.0,55.0,24.9004602,89.73524177,6.770278088,57.44942094,5155.237677597401,372.36529484000005,2289.0,620.0329181717841,4.068161780940004,22.34448816231263
18.0,20.0,26.0,31.66524687,51.98594645,5.435840509,89.98024312,4677.7081003943,141.331853234,360.0,1002.6878593380449,4.510642374373943,16.461478281098504
12.0,39.0,21.0,28.99319096,62.85948245,8.183844843,70.4713043,4429.78971587446,171.86074170299997,468.0,840.6051220430257,4.2692960306805885,18.224969783196187
34.03062655783603,139.9794613511004,198.02974490304825,21.71692961061441,93.35622858042247,5.903670583879733,115.19434729696668,10762.289801956762,1138.6711165717074,4760.116683302558,471.0517389078676,4.844176604370036,20.139774855059564
